Feature type,Primary DBID,Systematic Name,SGD Alias,Description,Standard Name,Chromosome,Start,End,Strand
ORF,S000005390,YOL030W,"1,3-beta-glucanosyltransferase","1,3-beta-glucanosyltransferase; has similarity to Gas1p; localizes to the cell wall",GAS5,chrXV,268187,269641,1
ORF,S000005492,YOL132W,"1,3-beta-glucanosyltransferase","1,3-beta-glucanosyltransferase; involved with Gas2p in spore wall assembly; has similarity to Gas1p; localizes to the cell wall",GAS4,chrXV,71300,72715,1
ORF,S000004335,YLR343W,"1,3-beta-glucanosyltransferase","1,3-beta-glucanosyltransferase; involved with Gas4p in spore wall assembly; has similarity to Gas1p",GAS2,chrXII,816094,817761,1
ORF,S000000979,YER177W,14-3-3 family protein BMH1|APR6,"14-3-3 protein, major isoform; involved in post-transcriptional control of the proteome; binds to both proteins and to DNA, including replication origins; regulates exocytosis, vesicle transport, Ras/MAPK and rapamycin-sensitive signaling, aggresome formation, the spindle position checkpoint and meiotic commitment; protein abundance and relative distribution to the nucleus increase upon DNA replication stress; antiapoptotic gene; similar to several human 14-3-3 proteins",BMH1,chrV,545611,546414,1
ORF,S000002506,YDR099W,14-3-3 family protein BMH2|SCD3,"14-3-3 protein, minor isoform; involved in post-transcriptional control of the proteome; binds to both proteins and to DNA, including replication origins; regulates multiple processes including exocytosis, vesicle transport, Ras/MAPK and rapamycin-sensitive signaling and meiotic commitment; protein abundance and relative distribution to the nucleus increase upon DNA replication stress; abundance relative to Bmh1p increases during sporulation; similar to several human 14-3-3 proteins",BMH2,chrIV,653607,654428,1
ORF,S000006286,YPR082C,SNU16|U4/U6-U5 snRNP complex subunit DIB1,17-kDa component of the U4/U6aU5 tri-snRNP; plays an essential role in pre-mRNA splicing; human ortholog TXNL4A (the human U5-specific 15-kDa protein) complements yeast dib1 null mutant,DIB1,chrXVI,704225,704656,-1
ORF,S000001461,YIR022W,signal peptidase complex catalytic subunit SEC11,"18kDa catalytic subunit of the Signal Peptidase Complex (SPC); the Signal Peptidase Complex cleaves the signal sequence of proteins targeted to the endoplasmic reticulum; other members are Spc1p, Spc2p, Spc3p, and Sec11p",SEC11,chrIX,398733,399236,1
ORF,S000007235,YDR363W-A,DSS1|HOD1|proteasome regulatory particle lid subunit SEM1,"19S proteasome regulatory particle lid subcomplex component; role in Ub-dependent proteolysis and proteasome stability; involved in TREX-2 mediated mRNA export, and in the prevention of transcription-associated genome instability; ubiquitinated by Nedd4-like E3-ligase, Rsp5p; human ortholog DSS1, a BRCA1 binding protein implicated in cancer, complements the yeast null; drives trinucleotide repeat expansion; protein abundance increases in response to DNA replication stress",SEM1,chrIV,1202128,1202397,1
ORF,S000002210,YDL052C,1-acylglycerol-3-phosphate O-acyltransferase SLC1,"1-acyl-sn-glycerol-3-phosphate acyltransferase; catalyzes the acylation of lysophosphatidic acid to form phosphatidic acid, a key intermediate in lipid metabolism; enzymatic activity detected in lipid particles and microsomes",SLC1,chrIV,362672,363583,-1
ORF,S000001915,YFR019W,1-phosphatidylinositol-3-phosphate 5-kinase|SVL7,"1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis",FAB1,chrVI,184502,191338,1
ORF,S000001105,YHR063C,2-dehydropantoate 2-reductase PAN5,"2-dehydropantoate 2-reductase; part of the pantothenic acid pathway, structurally homologous to E. coli panE",PAN5,chrVIII,224030,225169,-1
ORF,S000001086,YHR044C,2-deoxyglucose-6-phosphatase,"2-deoxyglucose-6-phosphate phosphatase; member of a family of low molecular weight phosphatases; confers 2-deoxyglucose resistance when overexpressed; DOG1 has a paralog, DOG2, that arose from a single-locus duplication; the last half of DOG1 and DOG2 are subject to gene conversions among S. cerevisiae, S. paradoxus, and S. mikatae",DOG1,chrVIII,194068,194808,-1
ORF,S000001085,YHR043C,2-deoxyglucose-6-phosphatase,"2-deoxyglucose-6-phosphate phosphatase; member of a family of low molecular weight phosphatases, induced by oxidative and osmotic stress, confers 2-deoxyglucose resistance when overexpressed; DOG2 has a paralog, DOG1, that arose from a single-locus duplication; the last half of DOG1 and DOG2 are subject to gene conversions among S. cerevisiae, S. paradoxus, and S. mikatae",DOG2,chrVIII,192805,193545,-1
ORF,S000000230,YBR026C,enoyl-[acyl-carrier-protein] reductase|MRF1|MRF1',"2-enoyl thioester reductase; member of the medium chain dehydrogenase/reductase family; localized to mitochondria, where it has a probable role in fatty acid synthesis; human MECR functionally complements the respiratory growth defect of the null mutant",ETR1,chrII,292877,294019,-1
ORF,S000000355,YBR151W,,"2Fe-2S cytosolic protein of unknown function; bishistidinyl coordinated, non-Rieske [2Fe-2S] cluster containing thiredoxin-like ferredoxin; required for normal localization of actin patches and for normal tolerance of sodium ions and hydrogen peroxide; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the cytoplasm; homologous to AIM32",APD1,chrII,545028,545978,1
ORF,S000004514,YML050W,,"2Fe-2S mitochondrial protein involved in redox quality control; may maintain protein redox status by targeting oxidation sensitive cysteine residues; bishistidinyl coordinated, non-Rieske [2Fe-2S] cluster containing thiredoxin-like ferredoxin; forms a functional complex with Osm1p and Erv1p in the IMS; required for assembly of numerous mitochondrial import complexes; essential for anaerobiosis; localizes to the mitochondrial matrix and intermembrane space (IMS); homologous to APD1",AIM32,chrXIII,173139,174074,1
ORF,S000004578,YML110C,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase|DBI56","2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase; involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes; respiratory defect of the null mutant is partially complemented by human COQ5",COQ5,chrXIII,50031,50954,-1
ORF,S000000797,YEL071W,D-lactate dehydrogenase,"2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase; converts D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate in the presence of FAD, with concomitant reduction of pyruvate to D-lactate; minor lactate dehydrogenase activity; component of the retrograde regulon that consists of genes whose expression are stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source; located in the cytoplasm",DLD3,chrV,16355,17845,1
ORF,S000006210,YPR006C,methylisocitrate lyase ICL2,2-methylisocitrate lyase of the mitochondrial matrix; functions in the methylcitrate cycle to catalyze the conversion of 2-methylisocitrate to succinate and pyruvate; ICL2 transcription is repressed by glucose and induced by ethanol,ICL2,chrXVI,567269,568996,-1
ORF,S000005485,YOL125W,tRNA:m4X modification enzyme,2'-O-methyltransferase; responsible for modification of tRNA at position 4; C-terminal domain has similarity to Rossmann-fold (RFM) superfamily of RNA methyltransferases,TRM13,chrXV,83834,85264,1
ORF,S000002270,YDL112W,tRNA (guanosine(18)-2'-O)-methyltransferase,2'-O-ribose methyltransferase; catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs,TRM3,chrIV,258915,263225,1
ORF,S000000265,YBR061C,tRNA methyltransferase TRM7,"2'-O-ribose methyltransferase; methylates the 2'-O-ribose of tRNA-Phe, tRNA-Trp, and tRNA-Leu at positions C32 and N34 of tRNA anticodon loop; crucial biological role likely modification of tRNA-Phe; interacts with Trm732p and Rtt10p in 2'-O-methylation of C32 and N34 substrate tRNAs, respectively; yeast null mutant can be functionally complemented by human FTSJ1, mutations in which have been implicated in nonsyndromic X-linked intellectual disability (NSXLID)",TRM7,chrII,364787,365719,-1
ORF,S000002895,YDR487C,"3,4-dihydroxy-2-butanone-4-phosphate synthase RIB3","3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase); required for riboflavin biosynthesis from ribulose-5-phosphate, also has an unrelated function in mitochondrial respiration",RIB3,chrIV,1428354,1428980,-1
ORF,S000001441,YIR002C,3'-5' DNA helicase,"3'-5' DNA helicase involved in error-free bypass of DNA lesions; binds flap DNA, stimulates activity of Rad27p and Dna2p; prevents crossovers between ectopic sequences by removing substrates for Mus81-Mms4 or Rad1-Rad10 cleavage; homolog of human FANCM Fanconi anemia protein that is involved in stabilizing and remodeling blocked replication forks; member of SF2 DExD/H superfamily of helicases; nonsense or missense mutations in FANCM can make people more likely to get cancer",MPH1,chrIX,357415,360396,-1
ORF,S000002699,YDR291W,ATP-dependent 3'-5' DNA helicase,"3'-5' DNA helicase of the conserved RecQ family; involved in Pso2p-mediated interstrand crosslink repair; acts with Rad4p in nucleotide-excision repair; binds telomeres, modulates telomerase activity with Pif1p and inhibits telomere addition to dsDNA breaks; role in telomerase-independent telomere maintenance; lacks ssDNA annealing and strand exchange activities; human RecQL4, a structural and functional homolog, is involved in Rothmund-Thomson, Baller-Gerold and RAPADILINO syndromes",HRQ1,chrIV,1039728,1042961,1
ORF,S000000151,YBL055C,3'-5'-exodeoxyribonuclease|Tat-D,3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases,,chrII,115573,116829,-1
ORF,S000004587,YML118W,3'-5' poly(A) RNA exonuclease,"3'-5' exonuclease specific for poly-A RNAs; has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; similar to Ngl1p; NGL3 has a paralog, NGL2, that arose from the whole genome duplication",NGL3,chrXIII,32334,33851,1
ORF,S000004900,YMR287C,exoribonuclease II|MSU1,3'-5' exoribonuclease; component of the mitochondrial degradosome along with the ATP-dependent RNA helicase Suv3p; the degradosome associates with the ribosome and mediates turnover of aberrant or unprocessed RNAs,DSS1,chrXIII,842436,845345,-1
ORF,S000003508,YGR276C,REX1|RNA82,3'-5' exoribonuclease; required for maturation of 3' ends of 5S rRNA and tRNA-Arg3 from dicistronic transcripts,RNH70,chrVII,1043819,1045480,-1
ORF,S000004049,YLR059C,YNT20,"3'-5' RNA exonuclease; involved in 3'-end processing of U4 and U5 snRNAs, 5S and 5.8S rRNAs, and RNase P and RNase MRP RNA; localized to mitochondria and null suppresses escape of mtDNA to nucleus in yme1 yme2 mutants; RNase D exonuclease; role in preventing L-A mycovirus pathogenesis",REX2,chrXII,259738,260547,-1
ORF,S000002442,YDR035W,3-deoxy-7-phosphoheptulonate synthase ARO3,3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan,ARO3,chrIV,521816,522928,1
ORF,S000000453,YBR249C,3-deoxy-7-phosphoheptulonate synthase ARO4,3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by tyrosine or high concentrations of phenylalanine or tryptophan; relative distribution to the nucleus increases upon DNA replication stress,ARO4,chrII,716882,717994,-1
ORF,S000004595,YML126C,HMGS|hydroxymethylglutaryl-CoA synthase,3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase; catalyzes the formation of HMG-CoA from acetyl-CoA and acetoacetyl-CoA; involved in the second step in mevalonate biosynthesis,ERG13,chrXIII,19060,20535,-1
ORF,S000001717,YKR009C,bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase FOX2|POX2,3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase; multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway; mutation is functionally complemented by human HSD17B4,FOX2,chrXI,454352,457054,-1
ORF,S000003786,YJR025C,"3-hydroxyanthranilate 3,4-dioxygenase|HAD1",3-hydroxyanthranilic acid dioxygenase; required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p,BNA1,chrX,471138,471671,-1
ORF,S000001701,YKL218C,threo-3-hydroxy-L-aspartate ammonia-lyase SRY1,3-hydroxyaspartate dehydratase; deaminates L-threo-3-hydroxyaspartate to form oxaloacetate and ammonia; required in the presence of hydroxyaspartate; highly similar to mouse serine racemase (Srr) but has no serine racemase activity,SRY1,chrXI,17359,18339,-1
ORF,S000002443,YDR036C,3-hydroxyisobutyryl-CoA hydrolase|MRP5|mS47,3-hydroxyisobutyryl-CoA hydrolase; member of a family of enoyl-CoA hydratase/isomerases; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; phosphorylated; mutation affects fluid-phase endocytosis,EHD3,chrIV,523211,524713,-1
